R, bias, L, W, Gain
3652.59, 0.845051, 7.05929e-06, 4.43864e-06, 51.0493 
87944.7, 3.99724, 4.56199e-06, 1.84695e-05, 39.0244 
48088.3, 3.73991, 1.16635e-05, 1.44805e-05, 20.989 
29814.1, 1.5808, 1.13016e-05, 4.88499e-06, 1.5656 
51316.9, 1.32352, 1.58472e-05, 1.89225e-05, -9.5137 
19503.1, 1.15492, 1.99754e-05, 1.566e-05, 5.78665 
60072.7, 2.73619, 6.30456e-06, 1.4862e-05, 21.087 
19714.1, 2.87519, 1.39176e-05, 2.11353e-06, 8.01899 
31407.5, 2.77102, 9.26496e-06, 2.77138e-06, -1.55919 
6452.82, 0.975091, 1.02694e-05, 6.72871e-06, 23.9863 
52025.2, 1.96381, 1.00165e-06, 1.07595e-05, 26.2997 
10168, 3.75753, 3.91273e-06, 1.61389e-05, 17.2575 
90151, 2.66498, 8.86262e-06, 2.87849e-06, -10.2918 
83837, 3.54375, 1.60367e-05, 8.47383e-06, 16.5102 
28941.5, 1.65243, 1.675e-05, 1.44126e-05, -5.40197 
55216.5, 2.43794, 1.9903e-06, 6.85933e-06, 20.7513 
23875.5, 1.58771, 1.72108e-05, 1.63831e-05, -4.05105 
41249.3, 2.21554, 1.57123e-05, 1.66302e-05, -13.8248 
12509.7, 1.43158, 5.64291e-06, 1.98344e-05, -7.98644 
91066.6, 3.95022, 1.25945e-05, 1.0618e-05, 24.6842 
14003.6, 2.85301, 4.37198e-06, 1.68907e-05, 11.6443 
8497.89, 2.36498, 1.40614e-05, 1.75572e-05, -2.22564 
24240, 3.91755, 1.5996e-05, 1.04417e-05, 8.36867 
81255.5, 3.41606, 9.4964e-06, 5.88113e-06, 16.5723 
78561.3, 2.71897, 3.17388e-06, 7.41632e-06, 23.4505 
99392.2, 1.3131, 7.45001e-06, 1.98931e-05, -21.9707 
19279.8, 1.05236, 6.12758e-06, 1.48954e-05, -1.26052 
45229.4, 3.1326, 4.43988e-06, 1.41692e-05, 24.9766 
21276.6, 3.20951, 9.73061e-06, 1.07767e-05, 5.23635 
35841.6, 2.60138, 9.38833e-06, 2.27833e-06, -0.176153 
56025.9, 2.02653, 1.56106e-05, 1.84408e-05, -5.30337 
76461.7, 1.46777, 1.37849e-05, 1.31056e-05, -12.7817 
81265.8, 2.97258, 5.66877e-06, 1.33219e-05, 26.2338 
83400.6, 3.61476, 1.33925e-05, 3.97443e-06, 10.2148 
10933.3, 2.22194, 1.1899e-05, 5.1069e-06, 5.94109 
818.7, 2.59562, 1.88875e-05, 1.6101e-05, 20.3983 
55368, 2.80232, 1.69592e-05, 5.73204e-06, -8.44991 
